| t          | n_t        | d          | s          | r          | e          | o           | name                         | msg              |
| 3965970270 | None       | 3584439879 | 3602712894 | 238659237  | 3841372131 | -18273015   | seed-to-soil map:            | j increment      |
| 3965970270 | 3127856684 | 3003258545 | 3841372131 | 281895067  | 4123267198 | -838113586  | seed-to-soil map:            | t in range v     |
| 4114335326 | 3276221740 | 3003258545 | 3841372131 | 281895067  | 4123267198 | -838113586  | seed-to-soil map:            | t in range v     |
| 4245248379 | None       | 3003258545 | 3841372131 | 281895067  | 4123267198 | -838113586  | seed-to-soil map:            | j increment      |
| 4245248379 | None       | 3534435790 | 4123267198 | 50004089   | 4173271287 | -588831408  | seed-to-soil map:            | j increment      |
| 4245248379 | 3357130704 | 3285153612 | 4173271287 | 121696009  | 4294967296 | -888117675  | seed-to-soil map:            | t in range v     |
| 184856615  | 2184349572 | 2130920887 | 131427930  | 666553095  | 797981025  | 1999492957  | soil-to-fertilizer map:      | t in range v     |
| 471721177  | 2471214134 | 2130920887 | 131427930  | 666553095  | 797981025  | 1999492957  | soil-to-fertilizer map:      | t in range v     |
| 523034914  | 2522527871 | 2130920887 | 131427930  | 666553095  | 797981025  | 1999492957  | soil-to-fertilizer map:      | t in range v     |
| 857527955  | None       | 2130920887 | 131427930  | 666553095  | 797981025  | 1999492957  | soil-to-fertilizer map:      | j increment      |
| 857527955  | 4018209284 | 3958662354 | 797981025  | 336304942  | 1134285967 | 3160681329  | soil-to-fertilizer map:      | t in range v     |
| 1740198447 | None       | 3958662354 | 797981025  | 336304942  | 1134285967 | 3160681329  | soil-to-fertilizer map:      | j increment      |
| 1740198447 | None       | 2797473982 | 1134285967 | 51044216   | 1185330183 | 1663188015  | soil-to-fertilizer map:      | j increment      |
| 1740198447 | None       | 131427930  | 1185330183 | 180485664  | 1365815847 | -1053902253 | soil-to-fertilizer map:      | j increment      |
| 1740198447 | 3222900798 | 2848518198 | 1365815847 | 889667435  | 2255483282 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 1888759151 | 3371461502 | 2848518198 | 1365815847 | 889667435  | 2255483282 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 1950303152 | 3433005503 | 2848518198 | 1365815847 | 889667435  | 2255483282 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 2159660199 | 3642362550 | 2848518198 | 1365815847 | 889667435  | 2255483282 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 2270900669 | None       | 2848518198 | 1365815847 | 889667435  | 2255483282 | 1482702351  | soil-to-fertilizer map:      | j increment      |
| 2270900669 | 3753603020 | 3738185633 | 2255483282 | 220476721  | 2475960003 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 2278988911 | 3761691262 | 3738185633 | 2255483282 | 220476721  | 2475960003 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 2320623489 | 3803325840 | 3738185633 | 2255483282 | 220476721  | 2475960003 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 2331669905 | 3814372256 | 3738185633 | 2255483282 | 220476721  | 2475960003 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 2348354002 | 3831056353 | 3738185633 | 2255483282 | 220476721  | 2475960003 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 2397364708 | 3880067059 | 3738185633 | 2255483282 | 220476721  | 2475960003 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 2461206486 | 3943908837 | 3738185633 | 2255483282 | 220476721  | 2475960003 | 1482702351  | soil-to-fertilizer map:      | t in range v     |
| 3127856684 | None       | 3738185633 | 2255483282 | 220476721  | 2475960003 | 1482702351  | soil-to-fertilizer map:      | j increment      |
| 3127856684 | None       | 748806267  | 2475960003 | 160820884  | 2636780887 | -1727153736 | soil-to-fertilizer map:      | j increment      |
| 3127856684 | 1400702948 | 909627151  | 2636780887 | 1221293736 | 3858074623 | -1727153736 | soil-to-fertilizer map:      | t in range v     |
| 3276221740 | 1549068004 | 909627151  | 2636780887 | 1221293736 | 3858074623 | -1727153736 | soil-to-fertilizer map:      | t in range v     |
| 3357130704 | 1629976968 | 909627151  | 2636780887 | 1221293736 | 3858074623 | -1727153736 | soil-to-fertilizer map:      | t in range v     |
| 3423103047 | 1695949311 | 909627151  | 2636780887 | 1221293736 | 3858074623 | -1727153736 | soil-to-fertilizer map:      | t in range v     |
| 4236770796 | None       | 909627151  | 2636780887 | 1221293736 | 3858074623 | -1727153736 | soil-to-fertilizer map:      | j increment      |
| 4236770796 | 690609767  | 311913594  | 3858074623 | 436892673  | 4294967296 | -3546161029 | soil-to-fertilizer map:      | t in range v     |
| 690609767  | None       | 895884650  | 0          | 159434487  | 159434487  | 895884650   | fertilizer-to-water map:     | j increment      |
| 690609767  | None       | 1338009275 | 159434487  | 258346603  | 417781090  | 1178574788  | fertilizer-to-water map:     | j increment      |
| 690609767  | None       | 790720843  | 417781090  | 105163807  | 522944897  | 372939753   | fertilizer-to-water map:     | j increment      |
| 690609767  | None       | 1596355878 | 522944897  | 46363018   | 569307915  | 1073410981  | fertilizer-to-water map:     | j increment      |
| 690609767  | 121301852  | 0          | 569307915  | 222462505  | 791770420  | -569307915  | fertilizer-to-water map:     | t in range v     |
| 1400702948 | None       | 0          | 569307915  | 222462505  | 791770420  | -569307915  | fertilizer-to-water map:     | j increment      |
| 1400702948 | None       | 487131896  | 791770420  | 303588947  | 1095359367 | -304638524  | fertilizer-to-water map:     | j increment      |
| 1400702948 | None       | 318410581  | 1095359367 | 168721315  | 1264080682 | -776948786  | fertilizer-to-water map:     | j increment      |
| 1400702948 | None       | 222462505  | 1264080682 | 95948076   | 1360028758 | -1041618177 | fertilizer-to-water map:     | j increment      |
| 1400702948 | 1095993327 | 1055319137 | 1360028758 | 282690138  | 1642718896 | -304709621  | fertilizer-to-water map:     | t in range v     |
| 1549068004 | 1244358383 | 1055319137 | 1360028758 | 282690138  | 1642718896 | -304709621  | fertilizer-to-water map:     | t in range v     |
| 1629976968 | 1325267347 | 1055319137 | 1360028758 | 282690138  | 1642718896 | -304709621  | fertilizer-to-water map:     | t in range v     |
| 1695949311 | None       | 1055319137 | 1360028758 | 282690138  | 1642718896 | -304709621  | fertilizer-to-water map:     | j increment      |
| 1695949311 | 1695949311 | 3233759255 | 1830862773 | 27772641   | 1858635414 | 1402896482  | fertilizer-to-water map:     | t smaller than v |
| 2184349572 | None       | 3233759255 | 1830862773 | 27772641   | 1858635414 | 1402896482  | fertilizer-to-water map:     | j increment      |
| 2184349572 | None       | 2612414894 | 1858635414 | 270631597  | 2129267011 | 753779480   | fertilizer-to-water map:     | j increment      |
| 2184349572 | 1923240329 | 1868157768 | 2129267011 | 114327162  | 2243594173 | -261109243  | fertilizer-to-water map:     | t in range v     |
| 2471214134 | None       | 1868157768 | 2129267011 | 114327162  | 2243594173 | -261109243  | fertilizer-to-water map:     | j increment      |
| 2471214134 | None       | 2883046491 | 2243594173 | 35967286   | 2279561459 | 639452318   | fertilizer-to-water map:     | j increment      |
| 2471214134 | None       | 4217905563 | 2279561459 | 35118050   | 2314679509 | 1938344104  | fertilizer-to-water map:     | j increment      |
| 2471214134 | None       | 1837473204 | 2314679509 | 13057422   | 2327736931 | -477206305  | fertilizer-to-water map:     | j increment      |
| 2471214134 | 3410050908 | 3266573705 | 2327736931 | 229066918  | 2556803849 | 938836774   | fertilizer-to-water map:     | t in range v     |
| 2522527871 | 3461364645 | 3266573705 | 2327736931 | 229066918  | 2556803849 | 938836774   | fertilizer-to-water map:     | t in range v     |
| 3222900798 | None       | 3266573705 | 2327736931 | 229066918  | 2556803849 | 938836774   | fertilizer-to-water map:     | j increment      |
| 3222900798 | None       | 3920015382 | 2556803849 | 51274497   | 2608078346 | 1363211533  | fertilizer-to-water map:     | j increment      |
| 3222900798 | None       | 2044021922 | 2608078346 | 178026438  | 2786104784 | -564056424  | fertilizer-to-water map:     | j increment      |
| 3222900798 | None       | 3986739171 | 2786104784 | 83568826   | 2869673610 | 1200634387  | fertilizer-to-water map:     | j increment      |
| 3222900798 | None       | 3684589653 | 2869673610 | 235425729  | 3105099339 | 814916043   | fertilizer-to-water map:     | j increment      |
| 3222900798 | 4188109456 | 4070307997 | 3105099339 | 147597566  | 3252696905 | 965208658   | fertilizer-to-water map:     | t in range v     |
| 3371461502 | None       | 4070307997 | 3105099339 | 147597566  | 3252696905 | 965208658   | fertilizer-to-water map:     | j increment      |
| 3371461502 | 2452955814 | 2334191217 | 3252696905 | 278223677  | 3530920582 | -918505688  | fertilizer-to-water map:     | t in range v     |
| 3433005503 | 2514499815 | 2334191217 | 3252696905 | 278223677  | 3530920582 | -918505688  | fertilizer-to-water map:     | t in range v     |
| 3642362550 | None       | 2334191217 | 3252696905 | 278223677  | 3530920582 | -918505688  | fertilizer-to-water map:     | j increment      |
| 3642362550 | None       | 3261531896 | 3530920582 | 5041809    | 3535962391 | -269388686  | fertilizer-to-water map:     | j increment      |
| 3642362550 | None       | 2222048360 | 3535962391 | 64954919   | 3600917310 | -1313914031 | fertilizer-to-water map:     | j increment      |
| 3642362550 | 3537085863 | 3495640623 | 3600917310 | 61383314   | 3662300624 | -105276687  | fertilizer-to-water map:     | t in range v     |
| 3753603020 | None       | 3495640623 | 3600917310 | 61383314   | 3662300624 | -105276687  | fertilizer-to-water map:     | j increment      |
| 3753603020 | None       | 3557023937 | 3662300624 | 15042395   | 3677343019 | -105276687  | fertilizer-to-water map:     | j increment      |
| 3753603020 | 3648326333 | 3572066332 | 3677343019 | 87967317   | 3765310336 | -105276687  | fertilizer-to-water map:     | t in range v     |
| 3761691262 | 3656414575 | 3572066332 | 3677343019 | 87967317   | 3765310336 | -105276687  | fertilizer-to-water map:     | t in range v     |
| 3803325840 | None       | 3572066332 | 3677343019 | 87967317   | 3765310336 | -105276687  | fertilizer-to-water map:     | j increment      |
| 3803325840 | 3018827428 | 2980811924 | 3765310336 | 180818294  | 3946128630 | -784498412  | fertilizer-to-water map:     | t in range v     |
| 3814372256 | 3029873844 | 2980811924 | 3765310336 | 180818294  | 3946128630 | -784498412  | fertilizer-to-water map:     | t in range v     |
| 3831056353 | 3046557941 | 2980811924 | 3765310336 | 180818294  | 3946128630 | -784498412  | fertilizer-to-water map:     | t in range v     |
| 3880067059 | 3095568647 | 2980811924 | 3765310336 | 180818294  | 3946128630 | -784498412  | fertilizer-to-water map:     | t in range v     |
| 3943908837 | 3159410425 | 2980811924 | 3765310336 | 180818294  | 3946128630 | -784498412  | fertilizer-to-water map:     | t in range v     |
| 4018209284 | None       | 2980811924 | 3765310336 | 180818294  | 3946128630 | -784498412  | fertilizer-to-water map:     | j increment      |
| 4018209284 | None       | 1998824036 | 3946128630 | 45197886   | 3991326516 | -1947304594 | fertilizer-to-water map:     | j increment      |
| 4018209284 | None       | 3971289879 | 3991326516 | 15449292   | 4006775808 | -20036637   | fertilizer-to-water map:     | j increment      |
| 4018209284 | 2930447253 | 2919013777 | 4006775808 | 61798147   | 4068573955 | -1087762031 | fertilizer-to-water map:     | t in range v     |
| 121301852  | 3666230944 | 3544929092 | 0          | 223281414  | 223281414  | 3544929092  | water-to-light map:          | t in range v     |
| 1095993327 | None       | 3544929092 | 0          | 223281414  | 223281414  | 3544929092  | water-to-light map:          | j increment      |
| 1095993327 | None       | 2562107674 | 223281414  | 205190395  | 428471809  | 2338826260  | water-to-light map:          | j increment      |
| 1095993327 | None       | 28244350   | 428471809  | 312696716  | 741168525  | -400227459  | water-to-light map:          | j increment      |
| 1095993327 | None       | 1140236238 | 741168525  | 34514881   | 775683406  | 399067713   | water-to-light map:          | j increment      |
| 1095993327 | None       | 2903664303 | 775683406  | 169307196  | 944990602  | 2127980897  | water-to-light map:          | j increment      |
| 1095993327 | None       | 2767298069 | 944990602  | 18671019   | 963661621  | 1822307467  | water-to-light map:          | j increment      |
| 1095993327 | 590664076  | 458332370  | 963661621  | 286114592  | 1249776213 | -505329251  | water-to-light map:          | t in range v     |
| 1244358383 | 739029132  | 458332370  | 963661621  | 286114592  | 1249776213 | -505329251  | water-to-light map:          | t in range v     |
| 1325267347 | None       | 458332370  | 963661621  | 286114592  | 1249776213 | -505329251  | water-to-light map:          | j increment      |
| 1325267347 | None       | 3146586681 | 1249776213 | 38632811   | 1288409024 | 1896810468  | water-to-light map:          | j increment      |
| 1325267347 | None       | 1242780449 | 1288409024 | 36326371   | 1324735395 | -45628575   | water-to-light map:          | j increment      |
| 1325267347 | 3185751444 | 3185219492 | 1324735395 | 185266775  | 1510002170 | 1860484097  | water-to-light map:          | t in range v     |
| 1695949311 | None       | 3185219492 | 1324735395 | 185266775  | 1510002170 | 1860484097  | water-to-light map:          | j increment      |
| 1695949311 | None       | 3072971499 | 1510002170 | 73615182   | 1583617352 | 1562969329  | water-to-light map:          | j increment      |
| 1695949311 | 1391438779 | 1279106820 | 1583617352 | 194624401  | 1778241753 | -304510532  | water-to-light map:          | t in range v     |
| 1923240329 | None       | 1279106820 | 1583617352 | 194624401  | 1778241753 | -304510532  | water-to-light map:          | j increment      |
| 1923240329 | 1668059007 | 1523060431 | 1778241753 | 949993071  | 2728234824 | -255181322  | water-to-light map:          | t in range v     |
| 2452955814 | 2197774492 | 1523060431 | 1778241753 | 949993071  | 2728234824 | -255181322  | water-to-light map:          | t in range v     |
| 2514499815 | 2259318493 | 1523060431 | 1778241753 | 949993071  | 2728234824 | -255181322  | water-to-light map:          | t in range v     |
| 2930447253 | None       | 1523060431 | 1778241753 | 949993071  | 2728234824 | -255181322  | water-to-light map:          | j increment      |
| 2930447253 | None       | 1174751119 | 2728234824 | 68029330   | 2796264154 | -1553483705 | water-to-light map:          | j increment      |
| 2930447253 | None       | 0          | 2796264154 | 28244350   | 2824508504 | -2796264154 | water-to-light map:          | j increment      |
| 2930447253 | None       | 2473053502 | 2824508504 | 89054172   | 2913562676 | -351455002  | water-to-light map:          | j increment      |
| 2930447253 | 3387370844 | 3370486267 | 2913562676 | 174442825  | 3088005501 | 456923591   | water-to-light map:          | t in range v     |
| 3018827428 | 3475751019 | 3370486267 | 2913562676 | 174442825  | 3088005501 | 456923591   | water-to-light map:          | t in range v     |
| 3029873844 | 3486797435 | 3370486267 | 2913562676 | 174442825  | 3088005501 | 456923591   | water-to-light map:          | t in range v     |
| 3046557941 | 3503481532 | 3370486267 | 2913562676 | 174442825  | 3088005501 | 456923591   | water-to-light map:          | t in range v     |
| 3095568647 | None       | 3370486267 | 2913562676 | 174442825  | 3088005501 | 456923591   | water-to-light map:          | j increment      |
| 3095568647 | 879474527  | 871911381  | 3088005501 | 268324857  | 3356330358 | -2216094120 | water-to-light map:          | t in range v     |
| 3159410425 | 943316305  | 871911381  | 3088005501 | 268324857  | 3356330358 | -2216094120 | water-to-light map:          | t in range v     |
| 3410050908 | None       | 871911381  | 3088005501 | 268324857  | 3356330358 | -2216094120 | water-to-light map:          | j increment      |
| 3410050908 | 798167512  | 744446962  | 3356330358 | 127464419  | 3483794777 | -2611883396 | water-to-light map:          | t in range v     |
| 3461364645 | 849481249  | 744446962  | 3356330358 | 127464419  | 3483794777 | -2611883396 | water-to-light map:          | t in range v     |
| 3537085863 | None       | 744446962  | 3356330358 | 127464419  | 3483794777 | -2611883396 | water-to-light map:          | j increment      |
| 3537085863 | 2839260174 | 2785969088 | 3483794777 | 117695215  | 3601489992 | -697825689  | water-to-light map:          | t in range v     |
| 3648326333 | None       | 2785969088 | 3483794777 | 117695215  | 3601489992 | -697825689  | water-to-light map:          | j increment      |
| 3648326333 | 1520567562 | 1473731221 | 3601489992 | 49329210   | 3650819202 | -2127758771 | water-to-light map:          | t in range v     |
| 3656414575 | None       | 1473731221 | 3601489992 | 49329210   | 3650819202 | -2127758771 | water-to-light map:          | j increment      |
| 3656414575 | 346536439  | 340941066  | 3650819202 | 117391304  | 3768210506 | -3309878136 | water-to-light map:          | t in range v     |
| 4188109456 | None       | 340941066  | 3650819202 | 117391304  | 3768210506 | -3309878136 | water-to-light map:          | j increment      |
| 4188109456 | None       | 4210425139 | 4096117687 | 84542157   | 4180659844 | 114307452   | water-to-light map:          | j increment      |
| 4188109456 | 4103567299 | 4096117687 | 4180659844 | 114307452  | 4294967296 | -84542157   | water-to-light map:          | t in range v     |
| 346536439  | None       | 1363411758 | 0          | 204390574  | 204390574  | 1363411758  | light-to-temperature map:    | j increment      |
| 346536439  | 1159486592 | 1017340727 | 204390574  | 346071031  | 550461605  | 812950153   | light-to-temperature map:    | t in range v     |
| 590664076  | None       | 1017340727 | 204390574  | 346071031  | 550461605  | 812950153   | light-to-temperature map:    | j increment      |
| 590664076  | None       | 0          | 550461605  | 20445762   | 570907367  | -550461605  | light-to-temperature map:    | j increment      |
| 590664076  | 428838254  | 409081545  | 570907367  | 390673384  | 961580751  | -161825822  | light-to-temperature map:    | t in range v     |
| 739029132  | 577203310  | 409081545  | 570907367  | 390673384  | 961580751  | -161825822  | light-to-temperature map:    | t in range v     |
| 798167512  | 636341690  | 409081545  | 570907367  | 390673384  | 961580751  | -161825822  | light-to-temperature map:    | t in range v     |
| 849481249  | 687655427  | 409081545  | 570907367  | 390673384  | 961580751  | -161825822  | light-to-temperature map:    | t in range v     |
| 879474527  | 717648705  | 409081545  | 570907367  | 390673384  | 961580751  | -161825822  | light-to-temperature map:    | t in range v     |
| 943316305  | 781490483  | 409081545  | 570907367  | 390673384  | 961580751  | -161825822  | light-to-temperature map:    | t in range v     |
| 1391438779 | None       | 409081545  | 570907367  | 390673384  | 961580751  | -161825822  | light-to-temperature map:    | j increment      |
| 1391438779 | None       | 53752501   | 961580751  | 3552461    | 965133212  | -907828250  | light-to-temperature map:    | j increment      |
| 1391438779 | 1994107899 | 1567802332 | 965133212  | 510033927  | 1475167139 | 602669120   | light-to-temperature map:    | t in range v     |
| 1520567562 | None       | 1567802332 | 965133212  | 510033927  | 1475167139 | 602669120   | light-to-temperature map:    | j increment      |
| 1520567562 | None       | 994650876  | 1475167139 | 22689851   | 1497856990 | -480516263  | light-to-temperature map:    | j increment      |
| 1520567562 | 822465501  | 799754929  | 1497856990 | 194895947  | 1692752937 | -698102061  | light-to-temperature map:    | t in range v     |
| 1668059007 | 969956946  | 799754929  | 1497856990 | 194895947  | 1692752937 | -698102061  | light-to-temperature map:    | t in range v     |
| 2197774492 | None       | 799754929  | 1497856990 | 194895947  | 1692752937 | -698102061  | light-to-temperature map:    | j increment      |
| 2197774492 | None       | 20445762   | 1692752937 | 33306739   | 1726059676 | -1672307175 | light-to-temperature map:    | j increment      |
| 2197774492 | None       | 57304962   | 1726059676 | 351776583  | 2077836259 | -1668754714 | light-to-temperature map:    | j increment      |
| 2197774492 | None       | 2144982382 | 2092188566 | 56395155   | 2148583721 | 52793816    | light-to-temperature map:    | j increment      |
| 2197774492 | 2819295564 | 2770104793 | 2148583721 | 409359530  | 2557943251 | 621521072   | light-to-temperature map:    | t in range v     |
| 2259318493 | 2880839565 | 2770104793 | 2148583721 | 409359530  | 2557943251 | 621521072   | light-to-temperature map:    | t in range v     |
| 2839260174 | None       | 2770104793 | 2148583721 | 409359530  | 2557943251 | 621521072   | light-to-temperature map:    | j increment      |
| 2839260174 | 4269471677 | 3988154754 | 2557943251 | 306812542  | 2864755793 | 1430211503  | light-to-temperature map:    | t in range v     |
| 3185751444 | None       | 3988154754 | 2557943251 | 306812542  | 2864755793 | 1430211503  | light-to-temperature map:    | j increment      |
| 3185751444 | None       | 3810633876 | 2864755793 | 177520878  | 3042276671 | 945878083   | light-to-temperature map:    | j increment      |
| 3185751444 | None       | 2092188566 | 3042276671 | 52793816   | 3095070487 | -950088105  | light-to-temperature map:    | j increment      |
| 3185751444 | 3387358962 | 3296678005 | 3095070487 | 435408435  | 3530478922 | 201607518   | light-to-temperature map:    | t in range v     |
| 3387370844 | 3588978362 | 3296678005 | 3095070487 | 435408435  | 3530478922 | 201607518   | light-to-temperature map:    | t in range v     |
| 3475751019 | 3677358537 | 3296678005 | 3095070487 | 435408435  | 3530478922 | 201607518   | light-to-temperature map:    | t in range v     |
| 3486797435 | 3688404953 | 3296678005 | 3095070487 | 435408435  | 3530478922 | 201607518   | light-to-temperature map:    | t in range v     |
| 3503481532 | 3705089050 | 3296678005 | 3095070487 | 435408435  | 3530478922 | 201607518   | light-to-temperature map:    | t in range v     |
| 3666230944 | None       | 3296678005 | 3095070487 | 435408435  | 3530478922 | 201607518   | light-to-temperature map:    | j increment      |
| 3666230944 | None       | 3732086440 | 3530478922 | 78547436   | 3609026358 | 201607518   | light-to-temperature map:    | j increment      |
| 3666230944 | 2533907499 | 2476702913 | 3609026358 | 293401880  | 3902428238 | -1132323445 | light-to-temperature map:    | t in range v     |
| 4103567299 | None       | 2476702913 | 3609026358 | 293401880  | 3902428238 | -1132323445 | light-to-temperature map:    | j increment      |
| 4103567299 | 2402516598 | 2201377537 | 3902428238 | 275325376  | 4177753614 | -1701050701 | light-to-temperature map:    | t in range v     |
| 428838254  | None       | 1729642934 | 0          | 61644451   | 61644451   | 1729642934  | temperature-to-humidity map: | j increment      |
| 428838254  | None       | 55003315   | 61644451   | 16712201   | 78356652   | -6641136    | temperature-to-humidity map: | j increment      |
| 428838254  | None       | 2041971091 | 78356652   | 4477765    | 82834417   | 1963614439  | temperature-to-humidity map: | j increment      |
| 428838254  | None       | 1136292153 | 82834417   | 94266783   | 177101200  | 1053457736  | temperature-to-humidity map: | j increment      |
| 428838254  | 1132923683 | 881186629  | 177101200  | 255105524  | 432206724  | 704085429   | temperature-to-humidity map: | t in range v     |
| 577203310  | None       | 881186629  | 177101200  | 255105524  | 432206724  | 704085429   | temperature-to-humidity map: | j increment      |
| 577203310  | None       | 853426802  | 432206724  | 27759827   | 459966551  | 421220078   | temperature-to-humidity map: | j increment      |
| 577203310  | 3472290379 | 3355053620 | 459966551  | 401493159  | 861459710  | 2895087069  | temperature-to-humidity map: | t in range v     |
| 636341690  | 3531428759 | 3355053620 | 459966551  | 401493159  | 861459710  | 2895087069  | temperature-to-humidity map: | t in range v     |
| 687655427  | 3582742496 | 3355053620 | 459966551  | 401493159  | 861459710  | 2895087069  | temperature-to-humidity map: | t in range v     |
| 717648705  | 3612735774 | 3355053620 | 459966551  | 401493159  | 861459710  | 2895087069  | temperature-to-humidity map: | t in range v     |
| 781490483  | 3676577552 | 3355053620 | 459966551  | 401493159  | 861459710  | 2895087069  | temperature-to-humidity map: | t in range v     |
| 822465501  | 3717552570 | 3355053620 | 459966551  | 401493159  | 861459710  | 2895087069  | temperature-to-humidity map: | t in range v     |
| 969956946  | None       | 3355053620 | 459966551  | 401493159  | 861459710  | 2895087069  | temperature-to-humidity map: | j increment      |
| 969956946  | None       | 1938796124 | 861459710  | 41569104   | 903028814  | 1077336414  | temperature-to-humidity map: | j increment      |
| 969956946  | None       | 2737178317 | 903028814  | 27883660   | 930912474  | 1834149503  | temperature-to-humidity map: | j increment      |
| 969956946  | 3020048980 | 2981004508 | 930912474  | 349046239  | 1279958713 | 2050092034  | temperature-to-humidity map: | t in range v     |
| 1159486592 | 3209578626 | 2981004508 | 930912474  | 349046239  | 1279958713 | 2050092034  | temperature-to-humidity map: | t in range v     |
| 1994107899 | None       | 2981004508 | 930912474  | 349046239  | 1279958713 | 2050092034  | temperature-to-humidity map: | j increment      |
| 1994107899 | None       | 4015908448 | 1279958713 | 104417331  | 1384376044 | 2735949735  | temperature-to-humidity map: | j increment      |
| 1994107899 | None       | 2046448856 | 1384376044 | 7569690    | 1391945734 | 662072812   | temperature-to-humidity map: | j increment      |
| 1994107899 | None       | 1413642666 | 1391945734 | 112630494  | 1504576228 | 21696932    | temperature-to-humidity map: | j increment      |
| 1994107899 | None       | 1791287385 | 1504576228 | 21317279   | 1525893507 | 286711157   | temperature-to-humidity map: | j increment      |
| 1994107899 | None       | 1230558936 | 1525893507 | 183083730  | 1708977237 | -295334571  | temperature-to-humidity map: | j increment      |
| 1994107899 | None       | 3756546779 | 1708977237 | 17605039   | 1726582276 | 2047569542  | temperature-to-humidity map: | j increment      |
